Country/Region,Continent,Population,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,WHO Region
Bolivia,South America,11669748,27487,1098,876,30,6795,495,19816,71,2355,75,64946,5565,Americas
Ireland,Europe,4936723,25396,,1726,,23364,,306,9,5144,350,408344,82716,Europe
Romania,Europe,19239018,24826,,1555,,17391,,5880,186,1290,81,651003,33838,Europe
Bahrain,Asia,1699680,23570,,69,,17977,,5524,37,13867,41,502763,295799,EasternMediterranean
Israel,Asia,9197590,22044,,308,,15940,,5796,46,2397,33,886058,96336,Europe
Nigeria,Africa,206004225,22020,,542,,7613,,13865,7,107,3,120108,583,Africa
Armenia,Asia,2963162,21717,,386,,10797,,10534,10,7329,130,100400,33883,Europe
Kazakhstan,Asia,18772286,19285,520,136,,11882,,7267,121,1027,7,1424647,75891,Europe
Japan,Asia,126481147,18024,,963,,16263,,798,60,143,8,429481,3396,WesternPacific
Austria,Europe,9005551,17449,,693,,16282,,474,11,1938,77,578584,64247,Europe
Moldova,Europe,4034080,15078,,495,,8400,,6183,476,3738,123,63328,15698,Europe
Ghana,Africa,31057126,15013,,95,,11078,,3840,6,483,3,280116,9019,Africa
Guatemala,North America,17907908,14819,279,601,19,2930,33,11288,5,828,34,31427,1755,Americas
Honduras,North America,9901182,14571,628,417,12,1546,85,12608,13,1472,42,21540,2175,Americas
Azerbaijan,Asia,10137517,14305,,174,,7768,,6363,66,1411,17,441961,43597,Europe
Serbia,Europe,8737780,13235,,263,,12111,,861,21,1515,30,359069,41094,Europe
Denmark,Europe,5791888,12615,,603,,11422,,590,8,2178,104,960076,165762,Europe
Cameroon,Africa,26528317,12592,,313,,10100,,2179,28,475,12,,,Africa
S. Korea,Asia,51268565,12563,28,282,1,10974,44,1307,15,245,6,1220478,23806,WesternPacific
Algeria,Africa,43832927,12248,,869,,8792,,2587,45,279,20,,,Africa
Morocco,Africa,36901974,10907,,216,,8468,,2223,7,296,6,591757,16036,EasternMediterranean
Czechia,Europe,10708692,10777,,343,,7588,,2846,9,1006,32,528611,49363,Europe
Nepal,Asia,29124838,10728,,24,,2338,,8366,,368,0.8,476890,16374,South-EastAsia
Sudan,Africa,43822933,8889,,548,,3699,,4642,,203,13,401,9,EasternMediterranean
Norway,Europe,5420497,8788,,249,,8138,,401,6,1621,46,313162,57774,Europe
Malaysia,Asia,32357654,8596,,121,,8231,,244,2,266,4,704336,21767,WesternPacific
Ivory Coast,Africa,26360976,8164,,58,,3419,,4687,,310,2,48340,1834,Africa
Australia,Australia/Oceania,25494116,7558,37,104,1,6931,16,523,2,296,4,2227559,87375,WesternPacific
Finland,Europe,5540596,7167,,327,,6600,,240,2,1294,59,235500,42504,Europe
Uzbekistan,Asia,33459016,6990,89,19,,4685,,2286,19,209,0.6,1038575,31040,Europe
DRC,Africa,89480845,6213,,142,,870,,5201,,69,2,,,Africa
Senegal,Africa,16731859,6129,,93,,4072,,1964,24,366,6,72112,4310,Africa
Tajikistan,Asia,9532239,5630,,52,,4194,,1384,,591,5,,,Europe
